cases1,cases2,cases3,cases4,cases5,cases6,Y
1,1,1,1,2,2,3
1,1,1,2,2,3,8
1,1,2,2,3,8,13
1,2,2,3,8,13,13
2,2,3,8,13,13,25
2,3,8,13,13,25,34
3,8,13,13,25,34,52
8,13,13,25,34,52,77
13,13,25,34,52,77,98
13,25,34,52,77,98,121
25,34,52,77,98,121,200
34,52,77,98,121,200,234
52,77,98,121,200,234,291
77,98,121,200,234,291,
98,121,200,234,291,
121,200,234,291,
200,234,291,
234,291,
291,
